Experimental_Interaction	db	publications
"[{'B4DIT7', 'P03468'}]"	HPIdb	{'26789921'}
"[{'B4DIT7', 'P06821'}]"	HPIdb	{'26789921'}
"[{'P03508', 'B4DLC0'}]"	HPIdb	{'26789921'}
"[{'B4DLN1', 'P03468'}]"	HPIdb	{'26789921'}
"[{'P03496', 'B4DLN1'}]"	HPIdb	{'26789921'}
"[{'B4DLR8', 'P03496'}]"	HPIdb	{'26789921'}
"[{'P06821', 'B4DPJ8'}]"	HPIdb	{'26789921'}
"[{'B4DQA8', 'P03468'}]"	HPIdb	{'26789921'}
"[{'B4DUC8', 'P03496'}]"	HPIdb	{'20064372'}
"[{'A0A2P0HHU3', 'O43203'}]"	HPIdb;IntAct	{'20711500'}
"[{'B4DZG7', 'P03468'}]"	HPIdb	{'26789921'}
"[{'Q5NEM9', 'B4E2M5'}]"	IntAct	{'26714771'}
"[{'B4E3T4', 'P06821'}]"	HPIdb	{'20064372'}
"[{'B5BUJ7', 'D3QNI8'}]"	HPIdb;IntAct	{'21113130'}
"[{'P04688', 'Q6QLM7'}]"	HPIdb;IntAct	{'18794845'}
"[{'P0CG08', 'O84733'}]"	IntAct	{'26118995'}
"[{'Q83A33', 'Q9WUA2'}]"	HPIdb;IntAct	{'29176882'}
"[{'P03427', 'B7ZM21'}]"	HPIdb;IntAct	{'28611246'}
"[{'P03427', 'B7ZM74'}]"	HPIdb;IntAct	{'28611246'}
"[{'P03427', 'B7ZMM1'}]"	HPIdb;IntAct	{'28611246'}
"[{'O35493', 'Q83BF4'}]"	HPIdb;IntAct	{'29176882'}
"[{'C9J384', 'P03433'}]"	HPIdb	{'26789921'}
"[{'C9J384', 'P03508'}]"	HPIdb	{'26789921'}
"[{'C9J3L8', 'P03468'}]"	HPIdb	{'26789921'}
"[{'C9JAW5', 'P03468'}]"	HPIdb	{'26789921'}
"[{'P03496', 'C9JAW5'}]"	HPIdb	{'26789921'}
"[{'P06929', 'C9JUH5'}]"	HPIdb	{'22898364'}
"[{'P03433', 'C9JV02'}]"	HPIdb	{'26789921'}
"[{'P06929', 'C9JYJ0'}]"	HPIdb	{'22898364'}
"[{'P03427', 'D3DTH7'}]"	HPIdb;IntAct	{'28611246'}
"[{'P05777', 'D6REE5'}]"	HPIdb	{'10799781'}
"[{'P06821', 'D6RFH4'}]"	HPIdb	{'26789921'}
"[{'P03496', 'D6RJ07'}]"	HPIdb	{'20064372'}
"[{'P0A6Z0', 'D7RIG0'}, {'P0A6Y8', 'D7RIG0'}]"	IntAct	{'17357109'}
"[{'Q83A11', 'Q61937'}]"	HPIdb;IntAct	{'29176882'}
"[{'P06821', 'E5RHG8'}]"	HPIdb	{'26789921'}
"[{'E5RHT6', 'P06821'}]"	HPIdb	{'26789921'}
"[{'P03433', 'E7EQR4'}]"	HPIdb	{'26789921'}
"[{'E7ETS9', 'P03468'}]"	HPIdb	{'26789921'}
"[{'E7ETU5', 'P03496'}]"	HPIdb	{'26789921'}
"[{'E7EU96', 'P06821'}]"	HPIdb	{'26789921'}
"[{'E9PC52', 'P06821'}]"	HPIdb	{'26789921'}
"[{'E9PDE8', 'P06821'}]"	HPIdb	{'26789921'}
"[{'P06465', 'E9PF18'}]"	HPIdb	{'22898364'}
"[{'P03496', 'E9PH18'}]"	HPIdb	{'26789921'}
"[{'P03433', 'E9PH82'}]"	HPIdb	{'26789921'}
"[{'E9PHA6', 'P03496'}]"	HPIdb	{'26789921'}
"[{'P03496', 'E9PKG1'}]"	HPIdb	{'26789921'}
"[{'P03508', 'E9PKG1'}]"	HPIdb	{'26789921'}
"[{'P03496', 'E9PKV2'}]"	HPIdb	{'26789921'}
"[{'P03508', 'E9PKV2'}]"	HPIdb	{'26789921'}
"[{'P03508', 'E9PLL6'}]"	HPIdb	{'26789921'}
"[{'P03427', 'E9PMD8'}]"	HPIdb;IntAct	{'30833792'}
"[{'E9PMI6', 'P03508'}]"	HPIdb	{'26789921'}
"[{'E9PPV6', 'D2TK72'}]"	HPIdb;IntAct	{'27822540'}
"[{'E9PQ57', 'P03496'}]"	HPIdb	{'17267598'}
"[{'F2Z2B9', 'P03468'}]"	HPIdb	{'26789921'}
"[{'P03433', 'F2Z2I2'}]"	HPIdb	{'26789921'}
"[{'F2Z2I2', 'P03468'}]"	HPIdb	{'26789921'}
"[{'F5GX77', 'P06821'}]"	HPIdb	{'26789921'}
"[{'P03427', 'F5H0Y3'}]"	HPIdb;IntAct	{'30833792'}
"[{'P03468', 'F5H324'}]"	HPIdb	{'26789921'}
"[{'F5H5U2', 'P03508'}]"	HPIdb	{'26789921'}
"[{'F6RFD5', 'P06821'}]"	HPIdb	{'26789921'}
"[{'F7VJQ1', 'A0A0H2XDM6'}]"	Manual	{'23800426'}
"[{'F8VPD4', 'P03468'}]"	HPIdb	{'26789921'}
"[{'P03496', 'F8VPD4'}]"	HPIdb	{'26789921'}
"[{'P06821', 'F8VPD4'}]"	HPIdb	{'26789921'}
"[{'P06821', 'F8VZX2'}]"	HPIdb	{'26789921'}
"[{'F8W776', 'P03468'}]"	HPIdb	{'26789921'}
"[{'P03496', 'F8W881'}]"	HPIdb	{'26789921'}
"[{'P06465', 'F8W9E7'}]"	HPIdb	{'22898364'}
"[{'P03468', 'F8WCD0'}]"	HPIdb	{'26789921'}
"[{'F8W1R7', 'P03468'}]"	HPIdb	{'26789921'}
"[{'G3V3B0', 'P03496'}]"	HPIdb	{'26789921'}
"[{'G3V3B0', 'P03508'}]"	HPIdb	{'26789921'}
"[{'A0A5P8YAL1', 'Q96I30'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03508', 'G5E9W3'}]"	HPIdb	{'26789921'}
"[{'P03433', 'G5E9W7'}]"	HPIdb	{'26789921'}
"[{'G5E9W7', 'P03496'}]"	HPIdb	{'26789921'}
"[{'G5E9W7', 'P03508'}]"	HPIdb	{'26789921'}
"[{'H0Y4B0', 'A0A6L7HHZ0'}]"	HPIdb;IntAct	{'20711500'}
