Experimental_Interaction	db	publications
"[{'Q05209', 'A0A6H3AI29'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q05397', 'A0A5P8YHQ6'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84008', 'Q05397'}]"	IntAct	{'26118995'}
"[{'Q824H6', 'Q05397'}]"	IntAct	{'25193659'}
"[{'Q05481', 'A0A2U2GXV0'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2U2GY44', 'Q05481'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q05516', 'A0A6L8PLZ1'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15682', 'Q05519'}]"	HPIdb	{'25464832'}
"[{'Q05639', 'P15682'}]"	HPIdb	{'25464832'}
"[{'Q05639', 'P03496'}]"	HPIdb;IntAct	{'22810585'}
"[{'Q05639', 'P05777'}]"	HPIdb	{'25464832'}
"[{'Q05639', 'Q5ZVS2'}]"	HPIdb;IntAct	{'17068130'}
"[{'Q05682', 'Q8D017'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q05682', 'A0A0F7REH3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q05682', 'A0A6L8PBX8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q05707', 'Q8ZHK5'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PEZ7', 'Q05C95'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NI33', 'Q05CW4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8X834', 'Q05D32'}]"	HPIdb;IntAct	{'25519916'}
"[{'Q7VLE8', 'Q06124'}]"	IntAct	{'24902122'}
"[{'Q06136', 'O84362'}]"	IntAct	{'26118995'}
"[{'B0B9M5', 'Q06203'}, {'Q06203', 'P0DJI5'}]"	IntAct	{'26118995'}
"[{'Q06210', 'P03468'}]"	HPIdb	{'26789921'}
"[{'Q06210', 'P05777'}]"	HPIdb	{'25464832'}
"[{'Q06210', 'P06821'}]"	HPIdb	{'26789921'}
"[{'Q8ZIH1', 'Q06323'}]"	HPIdb;IntAct	{'20711500'}
"[{'P69955', 'Q06323'}]"	HPIdb;IntAct	{'21911467'}
"[{'Q06330', 'Q0WGQ5'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NFN3', 'Q06481'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q06481', 'A0A6L8PKS7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q06481', 'A0A6L7HQ79'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q06587', 'Q8D053'}]"	HPIdb;IntAct	{'20711500'}
"[{'P10215', 'Q06609'}]"	HPIdb	{'23950709'}
"[{'Q06643', 'A0A6L8PXZ2'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NEY0', 'Q06643'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2U2GZV9', 'Q06643'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZII0', 'Q06643'}]"	HPIdb;IntAct	{'20711500'}
"[{'D0ZPH9', 'Q06787'}]"	Manual	{'34237247'}
"[{'Q06787', 'P15682'}]"	HPIdb	{'25464832'}
"[{'A0A5P8YGX7', 'Q06787'}]"	HPIdb;IntAct	{'20711500'}
"[{'D0ZRB2', 'Q06787'}]"	Manual	{'34237247'}
"[{'C7H4X2', 'Q06830'}]"	Manual	{'31503404'}
"[{'P03427', 'Q06830'}]"	HPIdb	{'25464832'}
"[{'Q06830', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P05777', 'Q06830'}]"	HPIdb	{'25464832'}
"[{'Q663J7', 'Q06830'}, {'P68587', 'Q06830'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WA16', 'Q07021'}]"	Manual	{'23800426'}
"[{'A0A0H2WHG6', 'Q07021'}]"	Manual	{'23800426'}
"[{'Q62B08', 'Q07021'}]"	Manual	{'23800426'}
"[{'P15682', 'Q07021'}]"	HPIdb	{'25464832'}
"[{'P05777', 'Q07021'}]"	HPIdb	{'25464832'}
"[{'P0DQD3', 'Q9MZE0'}, {'P0DQD2', 'Q9MZE0'}]"	HPIdb;IntAct	{'10747014'}
"[{'A0A0H2WJE4', 'Q07021'}]"	Manual	{'23800426'}
"[{'O84952', 'Q07065'}]"	Manual	{'31611645'}
"[{'O84951', 'Q07065'}]"	Manual	{'31611645'}
"[{'O84793', 'Q07065'}]"	IntAct	{'26118995'}
"[{'Q07065', 'P15682'}]"	HPIdb	{'25464832'}
"[{'Q07065', 'P03468'}]"	HPIdb	{'26789921'}
"[{'P05777', 'Q07065'}]"	HPIdb	{'25464832'}
"[{'Q56061', 'Q07065'}]"	Manual	{'31611645'}
"[{'Q8ZMM8', 'Q07065'}]"	Manual	{'31611645'}
"[{'Q07075', 'A0A0F7RA86'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NEC0', 'Q07075'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HA16', 'Q07075'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A5P8YAL1', 'Q07092'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q07108', 'Q81UI7'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2XDA5', 'Q07157'}]"	Manual	{'23800426'}
"[{'A0A6L8NYD9', 'Q07157'}]"	HPIdb;IntAct	{'20711500'}
"[{'C7H4X2', 'Q07157'}]"	Manual	{'31503404'}
"[{'A0A656FE37', 'Q07157'}, {'A0A6B3T5A4', 'Q07157'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03433', 'Q07157'}]"	HPIdb	{'26789921'}
"[{'Q07157', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P03508', 'Q07157'}]"	HPIdb	{'26789921'}
"[{'P05777', 'Q07157'}]"	HPIdb	{'25464832'}
"[{'A0A0H2W2U0', 'Q07157'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q56061', 'Q07157'}]"	Manual	{'31611645'}
"[{'A0A656FKU4', 'Q07157'}, {'A0A6B3VCW6', 'Q07157'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A380PL37', 'Q07352'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6H3AIY4', 'Q07352'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WD43', 'Q07352'}]"	Manual	{'23800426'}
"[{'Q07666', 'O84951'}]"	Manual	{'31611645'}
"[{'Q07666', 'Q81L32'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q07666', 'P03427'}]"	HPIdb	{'25464832'}
"[{'Q07666', 'P15682'}]"	HPIdb	{'25464832'}
"[{'Q07666', 'P03496'}]"	HPIdb;IntAct	{'22810585'}
"[{'Q07666', 'P05777'}]"	HPIdb	{'25464832'}
"[{'Q07666', 'Q56061'}]"	Manual	{'31611645'}
"[{'Q07666', 'D0ZRB2'}]"	Manual	{'34237247'}
"[{'Q07812', 'A0A0H3LBR3'}]"	IntAct	{'30118682'}
"[{'Q07817', 'P03118'}]"	HPIdb;IntAct	{'22761572'}
"[{'P03496', 'Q07817'}]"	HPIdb;IntAct	{'23853584'}
"[{'A0A2S9PFE9', 'Q07817'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'Q07866'}]"	HPIdb;IntAct	{'28611246'}
"[{'Q8ZMM8', 'Q07866'}]"	HPIdb;IntAct;Manual	"{'22213674', '16938850', '31611645'}"
"[{'A0A0H2W1W6', 'Q07889'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NFP0', 'Q07890'}]"	HPIdb;IntAct	{'20711500'}
"[{'P60811', 'Q07954'}]"	Manual	{'31227708'}
"[{'Q8CZY7', 'Q07954'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03118', 'Q07955'}]"	HPIdb;IntAct	{'22761572'}
"[{'Q6VGT1', 'Q07955'}]"	HPIdb;IntAct	{'25210169'}
"[{'P03427', 'Q07955'}]"	HPIdb	{'25464832'}
"[{'Q07955', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P05777', 'Q07955'}]"	HPIdb	{'25464832'}
"[{'A0A380PMV7', 'Q07955'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q07960', 'A0A5P8YGL4'}, {'Q1CIY9', 'Q07960'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q56061', 'Q07960'}]"	Manual	{'31611645'}
"[{'Q07973', 'P03468'}]"	HPIdb	{'26789921'}
"[{'Q08117', 'O68769'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08117', 'Q8ZG77'}]"	HPIdb;IntAct	{'21911467'}
"[{'Q08117', 'Q8CZZ7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08117', 'Q0WD22'}]"	HPIdb;IntAct	{'21911467'}
"[{'Q08117', 'A0A6L7HJD9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08117', 'Q8CZU9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08117', 'Q5NEC0'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08117', 'A0A0H2W1K6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NH75', 'Q08117'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PFE6', 'Q08117'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08117', 'Q81TT4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08117', 'A0A6L8PSZ0'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08117', 'Q9Z373'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q6VGT1', 'Q08117'}]"	HPIdb;IntAct	{'22810586'}
"[{'Q08117', 'Q8ZJJ5'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8D068', 'Q08117'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08117', 'A0A454XQW4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08117', 'A0A6L7GZX4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8D080', 'Q08117'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08117', 'A0A6H3AGH4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08117', 'A0A6L8P864'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08117', 'A0A2U2H129'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08117', 'A0A5P8YGL8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08117', 'Q8CLQ8'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WCN0', 'Q08170'}]"	Manual	{'23800426'}
"[{'Q08170', 'P15682'}]"	HPIdb	{'25464832'}
"[{'Q5NFP9', 'Q08174'}]"	IntAct	{'26714771'}
"[{'Q99XU7', 'Q08188'}]"	Manual	{'31227708'}
"[{'P0CI27', 'Q08209'}]"	IntAct	{'26118995'}
"[{'Q08209', 'A0A6L8PB12'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'Q08211'}]"	HPIdb	{'25464832'}
"[{'Q08211', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P03496', 'Q08211'}]"	HPIdb;IntAct	{'22810585'}
"[{'P05777', 'Q08211'}]"	HPIdb	{'25464832'}
"[{'Q7VLE8', 'Q08211'}]"	IntAct	{'24902122'}
"[{'Q83BP6', 'Q08211'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q08289', 'Q8CKN6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08378', 'D0ZPH9'}]"	Manual	{'34237247'}
"[{'Q0WD22', 'Q08379'}]"	HPIdb;IntAct	{'21911467'}
"[{'P12848', 'Q08379'}]"	HPIdb	{'19637933'}
"[{'Q08380', 'Q5NEB6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08380', 'Q5NG44'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03496', 'Q08380'}]"	HPIdb;IntAct	{'22810585'}
"[{'Q5NF37', 'Q08380'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81JW1', 'Q08477'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8D0R7', 'Q08499'}]"	HPIdb;IntAct	{'20711500'}
"[{'P02976', 'Q08830'}]"	Manual	{'27302108'}
"[{'Q08830', 'Q99XV0'}]"	Manual	{'31227708'}
"[{'Q08945', 'P03508'}]"	HPIdb	{'26789921'}
"[{'Q08999', 'Q9X6B0'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08AD1', 'A0A0H2WHG6'}]"	Manual	{'23800426'}
"[{'A0A6L7H7R4', 'Q08AF3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81UP1', 'Q08AF3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08AF3', 'A0A6L8P7S0'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q62M26', 'Q08AF3'}]"	Manual	{'23800426'}
"[{'A0A6L7H1F0', 'Q08AF3'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7H5N1', 'Q08AH1'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q83A11', 'Q08AH3'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q08AM6', 'Q81NJ6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q08AM6', 'P03508'}]"	HPIdb;IntAct	{'23853584'}
"[{'Q5NFP9', 'Q08AN1'}]"	IntAct	{'26714771'}
"[{'Q08J23', 'P15682'}]"	HPIdb	{'25464832'}
"[{'Q08J23', 'Q81KV7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q09013', 'A0A5P8YAW1'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q09013', 'A0A380PIN1'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q09028', 'P15682'}]"	HPIdb	{'25464832'}
"[{'Q09028', 'P05777'}]"	HPIdb	{'25464832'}
"[{'Q09028', 'P06821'}]"	HPIdb	{'26789921'}
"[{'P03433', 'Q09161'}]"	HPIdb	{'26789921'}
"[{'Q09161', 'P15682'}]"	HPIdb	{'25464832'}
"[{'Q09328', 'A0A2S9PID6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8X834', 'Q09472'}]"	HPIdb;IntAct	{'27018634'}
"[{'Q09472', 'A0A6L8Q0Q2'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q09472', 'A0A6L7HFV2'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q09472', 'P84040'}]"	IntAct	{'16415179'}
"[{'Q09472', 'A0A6L7H9C3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q09472', 'Q6KNA9'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WCN0', 'Q0JRZ9'}]"	Manual	{'23800426'}
"[{'Q0JRZ9', 'A0A6L7HS72'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2U2GXG2', 'Q0JRZ9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q0JRZ9', 'Q81L40'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q0JRZ9', 'Q81KK8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q0JRZ9', 'Q9RMW6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q0PKG6', 'A0A6L7HNZ8'}]"	HPIdb;IntAct	{'20711500'}
"[{'P0A6Z0', 'Q0R326'}, {'P0A6Y8', 'Q0R326'}]"	IntAct	{'17357109'}
"[{'Q7ARD3', 'Q0VD83'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0F7REH3', 'Q0VD83'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q6VGT1', 'Q0VD86'}]"	HPIdb;IntAct	{'22810586'}
"[{'Q0VDF9', 'Q5NEQ5'}]"	IntAct	{'26714771'}
"[{'Q5NEM9', 'Q0VDF9'}]"	IntAct	{'26714771'}
"[{'Q5NFA6', 'Q0VDF9'}]"	IntAct	{'26714771'}
"[{'Q5NHH2', 'Q0VDF9'}]"	IntAct	{'26714771'}
"[{'Q62B07', 'Q0VDF9'}]"	Manual	{'23800426'}
"[{'A0A0H2WBX3', 'Q0VDF9'}]"	Manual	{'23800426'}
"[{'Q83A11', 'Q0VDF9'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q83B01', 'Q0VDF9'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q5NHT8', 'Q0VDF9'}]"	IntAct	{'26714771'}
"[{'A0A0H2WD43', 'Q0VDF9'}]"	Manual	{'23800426'}
"[{'Q0ZGT2', 'A0A5P8YDR4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NHH2', 'Q0ZGT2'}]"	IntAct	{'26714771'}
"[{'D0ZRB2', 'Q0ZGT2'}]"	Manual	{'34237247'}
"[{'A0A6L7HHZ0', 'Q10567'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8CZT6', 'Q10567'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NGW2', 'Q10567'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NIB1', 'Q10567'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84008', 'Q10567'}]"	IntAct	{'26118995'}
"[{'A0A0H2W8V3', 'Q10567'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2U2H0T1', 'Q10567'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10567', 'Q8D184'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2YGU6', 'Q10567'}, {'A0A6B3T6Y5', 'Q10567'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10567', 'A0A2U2GZD9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q74R28', 'Q10567'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2W132', 'Q10567'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03496', 'Q10570'}]"	HPIdb	{'26789921'}
"[{'P03508', 'Q10570'}]"	HPIdb	{'26789921'}
"[{'A0A6H9IC75', 'Q10587'}, {'A0A6L7H2M3', 'Q10587'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q79RC1', 'Q10587'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'Q9Z375'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'A0A0H2Y9W7'}, {'A0A2U2H2E6', 'Q10587'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'A0A380PCV3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'A0A3N4AYQ1'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'A0A5P8YEB4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'Q81VT8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q7CGS4', 'Q10587'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'Q7CHU1'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'Q5NID2'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q9ZC81', 'Q10587'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'A0A6L8PAV6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'Q5NIL8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'Q8CWG5'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'A0A6H3A8V4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'Q8CZG2'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'Q0WBG7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'Q8D1B7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'Q9ZC63'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'Q5NFP9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'Q8ZGR6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'A0A6H3AGH4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'Q81JT7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'Q8ZGE1'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8D0V8', 'Q10587'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'P58475'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8CZQ9', 'Q10587'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q10587', 'A0A380PKJ4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2B6C5D2', 'Q10589'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5WXW8', 'Q11203'}]"	Manual	{'25739981'}
"[{'Q11206', 'P05777'}]"	HPIdb	{'25464832'}
"[{'A0A6H3AKS4', 'Q12768'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H3LAC5', 'Q12768'}]"	IntAct	{'30118682'}
"[{'P06821', 'Q12769'}]"	HPIdb	{'26789921'}
"[{'O84793', 'Q12770'}]"	IntAct	{'26118995'}
"[{'Q12772', 'Q5NIJ0'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12772', 'Q7CHU1'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NH95', 'Q12772'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12772', 'Q8CLR4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q0WDR2', 'Q12789'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84166', 'Q12792'}]"	IntAct	{'26118995'}
"[{'A0A6L8PLI9', 'Q12796'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12797', 'O84008'}]"	IntAct	{'26118995'}
"[{'Q12797', 'P03496'}]"	HPIdb	{'26789921'}
"[{'P03508', 'Q12800'}]"	HPIdb	{'20064372'}
"[{'P06821', 'Q12800'}]"	HPIdb;IntAct	{'20064372'}
"[{'Q12802', 'A0A5P8YLT6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12802', 'Q8D0D4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7H121', 'Q12802'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12802', 'A0A4Y1WAV9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12802', 'Q81L10'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7H702', 'Q12802'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HHX2', 'Q12802'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8CZR5', 'Q12802'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12802', 'Q5NI89'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12802', 'A0A6L8PCK7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12802', 'Q5NFN4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81MH5', 'Q12802'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12802', 'A0A2B6BPR1'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PI52', 'Q12802'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12805', 'Q57285'}]"	HPIdb;IntAct	{'21911467'}
"[{'A0A6L7HPA8', 'Q12805'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12805', 'A0A6L7HRI8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81TL8', 'Q12805'}]"	HPIdb;IntAct	{'20711500'}
"[{'P61416', 'Q12805'}]"	HPIdb;IntAct	{'21911467'}
"[{'Q7ARI8', 'Q12805'}]"	HPIdb;IntAct	{'21911467'}
"[{'Q12805', 'O30878'}]"	HPIdb;IntAct	{'21911467'}
"[{'A0A2S9PAN3', 'Q12805'}]"	HPIdb;IntAct	{'20711500'}
"[{'P69974', 'Q12805'}]"	HPIdb;IntAct	{'21911467'}
"[{'Q12805', 'A0A5P8YKV3'}]"	HPIdb;IntAct	{'21911467'}
"[{'Q12834', 'P03118'}]"	HPIdb;IntAct	{'22761572'}
"[{'Q8D017', 'Q12841'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q7CLC8', 'Q12846'}]"	HPIdb;IntAct	{'21911467'}
"[{'Q0WEL2', 'Q12846'}]"	HPIdb;IntAct	{'21911467'}
"[{'Q12849', 'D0ZIB5'}]"	Manual	{'34237247'}
"[{'Q12849', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P05777', 'Q12849'}]"	HPIdb	{'25464832'}
"[{'Q12852', 'Q6KNA9'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'Q12857'}]"	HPIdb	{'25464832'}
"[{'Q83D60', 'Q12857'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q62M26', 'Q12857'}]"	Manual	{'23800426'}
"[{'Q5NHH0', 'Q12866'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12866', 'Q5NHL4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q83FA5', 'Q12866'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q12872', 'Q5NF50'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12873', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P03427', 'Q12879'}]"	HPIdb	{'25464832'}
"[{'Q12882', 'A0A2U2GXV0'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A454XVI6', 'Q12882'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12882', 'Q8D1P6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12882', 'A0A6B3SX50'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12882', 'Q8D1C6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12882', 'Q8D1K0'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12882', 'Q8ZAP5'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12882', 'A0A380PGW1'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2W8V3', 'Q12882'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12882', 'A0A3N4BBH4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12882', 'P46359'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12882', 'Q8ZCK2'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12882', 'Q8ZA76'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12882', 'Q8CZU2'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A5P8YHA0', 'Q12882'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A380PMQ0', 'Q12882'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12882', 'Q93PE0'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12882', 'Q8D0V6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12891', 'Q5NET3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NII2', 'Q12891'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2S9PFE9', 'Q12891'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12899', 'A0A6L7HH45'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12899', 'A0A5P8YEB4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12899', 'A0A6L7H5P8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12899', 'Q81WC3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12899', 'Q8CLT3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12899', 'Q5NGV3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12899', 'Q8D1D4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12899', 'Q8ZGA1'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12899', 'Q8ZA84'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q12899', 'Q6KNA9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NIQ1', 'Q12899'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2XDA5', 'Q12901'}]"	Manual	{'23800426'}
